player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
Lollypop,G,10,うねうね,81,亜1,https://eldersign.jp/img/mi/p/f0/055_dark-young_1g4.png,インクリーズ / スキュアー / トランキリティ / ベノムスクラッチ / メガリス,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=6&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=38&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=102&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=134&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=166&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=199&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=200&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=201&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=202&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=203&se=14&t=1,
Lollypop,G,10,うにょうにょ,89,亜2,https://eldersign.jp/img/mi/p/f0/055_dark-young_2g4.png,インクリーズ / スキュアー / トランプル / ヒカップ / ベノムスクラッチ / ホロウワールド / メガリス,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=6&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=38&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=102&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=134&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=166&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=199&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=200&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=201&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=202&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=203&se=14&t=1,
Lollypop,G,10,歌ウ触ワン,78,亜2,https://eldersign.jp/img/mi/p/f0/051_old-one_2g4.png,エルフショット / ミラーズ / ユロール / 光のベール / 闇のベール,ハートオブフレイム / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=6&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=38&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=102&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=134&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=166&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=199&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=200&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=201&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=202&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=203&se=14&t=1,
Lollypop,G,10,46000anyちゃん,75,亜1,https://eldersign.jp/img/mi/p/f0/052_star-vampire_1g4.png,アンブッシュ / パンデミック / フォトケミカルスモッグ / 光のベール / 光の楔,クィックオーダー / ハートオブフレイム / 命中ブースト / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=6&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=38&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=102&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=134&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=166&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=199&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=200&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=201&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=202&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=203&se=14&t=1,
Lollypop,G,1,裏ドラ,88,亜2,https://eldersign.jp/img/mi/p/f0/048_hydra_2g4.png,アースクェイク / スタンピード / ブレイズ / ペトロガス / ラーヴァフロウ,フレイムアシスト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=70&se=14&t=1,,,,,,,,,,
Lollypop,G,1,槓ドラ,60,亜1,https://eldersign.jp/img/mi/p/f0/048_hydra_1g4.png,アースクェイク / シャドウレイド / ブレイズ / ベノムスクラッチ / ラーヴァフロウ,フレイムアシスト,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=70&se=14&t=1,,,,,,,,,,
Lollypop,G,1,猫ちゃん酷使無双！,70,亜1,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png,キャンセレイション / ドラゴニックロア / フライト / 光のベール / 月光浴,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=70&se=14&t=1,,,,,,,,,,
Lollypop,G,1,ドラドラ,66,亜2,https://eldersign.jp/img/mi/p/f0/050_silver-dragon_2g4.png,クルセイド / テンペスト / バーニングレイジ / フサリア / ヴェンデッタ,フレイムアシスト / フレイムバリア,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=70&se=14&t=1,,,,,,,,,,
カリスト,C,5,地を喰らうスピキ,84,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,カロウシブスピット / スキュアー / スタンピード / トライペック / ブラッドセイバー,ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=2&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=34&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=70&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=74&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=75&se=14&t=1,,,,,,
カリスト,C,3,畝の後ろの後ろを歩くモノ,70,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,スキュアー / スタンピード / トライペック / トランキリティ / ベノムスクラッチ,ハートオブオーシャン / リジェネレイト / 守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=2&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=34&se=14&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=5&v=70&se=14&t=1,,,,,,,,
