player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
ハイジ,H,9,長男坊,70,原,https://eldersign.jp/img/mi/g/f0/045_pazuzu_0g4.png,スキュアー / チャージ / デルタスラッシュ / ドラゴニックロア / ベノムスティング,ハートオブオーシャン / 敏捷ブースト / 防火布,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=7&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=39&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=71&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=103&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=135&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=167&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=232&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=233&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=235&se=18&t=1,,
ハイジ,H,9,二男坊,58,亜2,https://eldersign.jp/img/mi/p/f0/045_pazuzu_2g4.png,スキュアー / チャージ / ドラゴニックロア / バインドグラスプ / ベノムスティング,ハートオブオーシャン / ハートオブフレイム / フレイムバリア,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=7&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=39&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=71&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=103&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=135&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=167&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=232&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=233&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=235&se=18&t=1,,
ハイジ,H,4,三男坊,44,亜1,https://eldersign.jp/img/mi/p/f0/045_pazuzu_1g4.png,カラカス / スリープクラウド / ドラゴニックロア / 光の楔 / 月光浴,HPブースト / クィックオーダー,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=7&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=167&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=232&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=233&se=18&t=1,,,,,,,
ハイジ,H,9,ルサルカ妹,60,原,https://eldersign.jp/img/mi/g/f0/041_rusalka_0g7.png,ウィンターブラスト / ファイアランス / フォグ / ペイルムーン / 光のベール,エンジェリックウィング / ディレイオーダー,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=7&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=39&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=71&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=103&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=167&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=199&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=233&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=234&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=235&se=18&t=1,,
ハイジ,H,5,ルサルカ姉,70,原,https://eldersign.jp/img/mi/g/f0/041_rusalka_0g7.png,アイスランス / ウィンターブラスト / スリートストーム / フラッド / ペイルムーン,コールドアシスト / ディレイオーダー / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=39&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=71&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=103&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=199&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=235&se=18&t=1,,,,,,
ハイジ,H,1,フォトケミ＝ゴ,40,原,https://eldersign.jp/img/mi/s/f0/032_mi-go_0g1.png,ウィンドボルト / チャージ / フォトケミカルスモッグ / ワインクラウド / 超超低周波,コールドアシスト / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=135&se=18&t=1,,,,,,,,,,
ハイジ,H,3,グレちゃん,64,亜1,https://eldersign.jp/img/mi/g/f0/021_gremlin_1g4.png,アウェイクニング / アムネジア / ウィンドボルト / ファイアランス / 風葬,HPブースト / クィックオーダー / ハートオブフレイム,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=135&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=232&se=18&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=234&se=18&t=1,,,,,,,,
ハイジ,H,1,長男坊パズズ,70,原,https://eldersign.jp/img/mi/g/f0/045_pazuzu_0g4.png,スキュアー / チャージ / デルタスラッシュ / ドラゴニックロア / ベノムスティング,ハートオブオーシャン / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=199&se=18&t=1,,,,,,,,,,
ハイジ,H,1,二男坊パズズ,57,亜2,https://eldersign.jp/img/mi/p/f0/045_pazuzu_2g4.png,スキュアー / チャージ / ドラゴニックロア / バインドグラスプ / ベノムスティング,ハートオブオーシャン,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=199&se=18&t=1,,,,,,,,,,
ハイジ,H,1,シルバードラゴン,61,原,https://eldersign.jp/img/mi/g/f0/050_silver-dragon_0g7.png,アイスブレス / ダブルアタック / チャージ / ハードブロウ / ブリザード,,https://eldersign.jp/rankmatch?cmd=v&rk=3&v=234&se=18&t=1,,,,,,,,,,
