player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),match01,match02,match03,match04,match05,match06,match07,match08,match09,match10,match11
カリスト,K,5,地を喰らうスピキ (1),90,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,カロウシブスピット / スキュアー / スタンピード / トライペック / ブラッドセイバー,レジストポイズン / 守りのミンネ / 戦いのエール,A-K,B-K,E-K,G-K,I-K,,,,,,
カリスト,K,3,地を喰らうスピキ (2),87,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,カロウシブスピット / スキュアー / スタンピード / トライペック / ブラッドセイバー,守りのミンネ / 戦いのエール,F-K,J-K,K-L,,,,,,,,
カリスト,K,7,畝の後ろの後ろを歩くモノ,70,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,スキュアー / スタンピード / トライペック / トランキリティ / ベノムスクラッチ,ハートオブフレイム / リジェネレイト / 守りのミンネ / 戦いのエール,A-K,B-K,C-K,E-K,F-K,G-K,K-L,,,,
カリスト,K,8,星のスピキ擬態型,86,亜2,https://eldersign.jp/img/mi/p/f0/052_star-vampire_2g7.png,アンブッシュ / カラカス / フォトケミカルスモッグ / ミラーズ / 光のベール,HPブースト / クィックオーダー / ボディケア / 守りのミンネ / 戦いのエール,A-K,B-K,C-K,F-K,G-K,I-K,J-K,K-L,,,
カリスト,K,8,比良坂初音,85,亜2,https://eldersign.jp/img/mi/p/f0/066_atlach-nacha_2g4.png,エルフショット / ミラーズ / ユロール / 光のベール / 光の楔,ハートオブフレイム / リジェネレイト / レジストバインド / 守りのミンネ / 心の壁 / 心の棘 / 戦いのエール,A-K,B-K,E-K,F-K,G-K,I-K,J-K,K-L,,,
カリスト,K,2,さらに畝の後ろを往くモノ,66,亜1,https://eldersign.jp/img/mi/p/f0/055_dark-young_1g4.png,インクリーズ / スキュアー / スタンピード / ディスペル / ベノムスクラッチ,レジストポイズン / 守りのミンネ / 戦いのエール,C-K,I-K,,,,,,,,,
カリスト,K,1,F.S.M.,60,原,https://eldersign.jp/img/mi/g/f0/053_fsm_0g7.png,アゼランザ / エルフショット / ストーン / ヒーリング / 光の楔,HPブースト / クィックオーダー,C-K,,,,,,,,,,
カリスト,K,2,シヴ山のドラゴン,87,亜2,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g4.png,スキュアー / スタンピード / ベノムスクラッチ / ヴェンデッタ,ハートオブオーシャン / リジェネレイト,D-K,H-K,,,,,,,,,
カリスト,K,2,Hydra,90,亜1,https://eldersign.jp/img/mi/p/f0/048_hydra_1g4.png,アースクェイク / スキュアー / ブラッドセイバー,ハートオブオーシャン,D-K,H-K,,,,,,,,,
カリスト,K,2,Simorgh,88,亜1,https://eldersign.jp/img/mi/p/f0/046_simorgh_1g7.png,アースクェイク / ステイシス / テンペスト / ドラゴニックロア,HPブースト / クィックオーダー,D-K,H-K,,,,,,,,,
カリスト,K,2,CatsOfUlthar,70,原,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_0g7.png,フライト / 光のベール / 月光浴,クィックオーダー / ボディケア,D-K,H-K,,,,,,,,,
カリスト,K,1,食屍鬼の眼ゲニ＝ゲバ,79,亜1,https://eldersign.jp/img/mi/p/f0/053_fsm_1g7.png,ユロール,レジストバインド / 心の棘,E-K,,,,,,,,,,
カリスト,K,1,復活の淫夢くんUC,86,亜2,https://eldersign.jp/img/mi/p/f0/057_arch-displacers_2g7.png,カラカス / フォトケミカルスモッグ / ベノムスクラッチ / ルルハラント / 光のベール,クィックオーダー / ボディケア,J-K,,,,,,,,,,
タカヤマン,A,2,シルバードラゴン／撃,90,亜2,https://eldersign.jp/img/mi/p/f0/050_silver-dragon_2g7.png,ベノムスクラッチ / 光のベール,セントリー / ハートオブオーシャン,A-B,A-H,,,,,,,,,
タカヤマン,A,2,ハイドラ！,90,亜2,https://eldersign.jp/img/mi/p/f0/048_hydra_2g7.png,アウターキラー / グランドスラム,守りのミンネ / 戦いのエール,A-B,A-H,,,,,,,,,
タカヤマン,A,2,シルバードラゴン／吼,90,亜1,https://eldersign.jp/img/mi/p/f0/050_silver-dragon_1g7.png,ヴェンデッタ / 光のベール,HPブースト / クィックオーダー,A-B,A-H,,,,,,,,,
タカヤマン,A,2,ウルタールの猫／クロ,70,亜1,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_1g7.png,フォトケミカルスモッグ / 月光浴,クィックオーダー / メンタルケア,A-B,A-H,,,,,,,,,
タカヤマン,A,6,ダークヤング／赤狐,90,亜1,https://eldersign.jp/img/mi/p/f0/055_dark-young_1g7.png,アースクェイク / スキュアー / チャージ / トライペック / ベノムスクラッチ,守りのミンネ / 戦いのエール,A-C,A-E,A-F,A-I,A-J,A-K,,,,,
タカヤマン,A,7,ダークヤング／緑狸,90,亜2,https://eldersign.jp/img/mi/p/f0/055_dark-young_2g7.png,スキュアー / チャージ / ディスペル / ブラッドセイバー / 光の楔,守りのミンネ / 戦いのエール,A-C,A-D,A-E,A-F,A-I,A-J,A-K,,,,
タカヤマン,A,8,F.S.M.～②,87,亜2,https://eldersign.jp/img/mi/p/f0/053_fsm_2g7.png,テンペスト / フォトケミカルスモッグ / ミラーズ / ユロール / 光の楔,HPブースト / クィックオーダー / ハートオブフレイム / リジェネレイト / 守りのミンネ / 心の棘,A-C,A-D,A-E,A-F,A-I,A-J,A-K,A-L,,,
タカヤマン,A,6,スタープラチナ☆,90,亜1,https://eldersign.jp/img/mi/p/f0/052_star-vampire_1g7.png,アンブッシュ / ミラーズ / ユロール / 光のベール / 光の楔,HPブースト / クィックオーダー / ハートオブフレイム / リジェネレイト,A-C,A-E,A-F,A-I,A-J,A-K,,,,,
タカヤマン,A,1,ドール／壱,68,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,アウターキラー / アースクェイク / スキュアー / スタンピード / チャージ,守りのミンネ / 戦いのエール,A-D,,,,,,,,,,
タカヤマン,A,1,スターヴァンパイア☆☆,51,原,https://eldersign.jp/img/mi/g/f0/052_star-vampire_0g7.png,アンブッシュ / ミラーズ / ユロール / 光のベール / 光の楔,HPブースト / クィックオーダー,A-D,,,,,,,,,,
タカヤマン,A,1,ケット・シー／１号,70,亜2,https://eldersign.jp/img/mi/g/f0/008_caitsith_2g7.png,テンペスト / ヒヤデスウィンド / フェアリーエイド / ペイルムーン / 光のベール,ハートオブウィンド,A-G,,,,,,,,,,
タカヤマン,A,1,ケット・シー／２号,70,亜2,https://eldersign.jp/img/mi/g/f0/008_caitsith_2g7.png,アゼランザ / エンジェルダスト / トランキリティ / フェイズアウト / ルルハラント,HPブースト / クィックオーダー,A-G,,,,,,,,,,
タカヤマン,A,1,スノウ／白,70,亜2,https://eldersign.jp/img/mi/g/f0/020_snow_2g7.png,ヒヤデスウィンド / フサリア / リヴァイヴ / ルビーレイン / 炎の刻印,ハートオブフレイム,A-G,,,,,,,,,,
タカヤマン,A,1,サキュバス様,90,亜1,https://eldersign.jp/img/mi/p/f0/043_succubus_1g7.png,エルフショット / シュリンク / ヒーリングウィンド / ペイルムーン / 光のベール,ハートオブウィンド,A-G,,,,,,,,,,
タカヤマン,A,1,ドール／弐,46,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,ユロール,ミラージュ / リジェネレイト,A-L,,,,,,,,,,
