player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),match01,match02,match03,match04,match05,match06,match07,match08,match09,match10,match11
煌龍,A,4,パズズ,69,原,https://eldersign.jp/img/mi/g/f0/045_pazuzu_0g4.png,ダブルアタック / チャージ / デルタスラッシュ / ハードブロウ,ローズイズレッド / ヴァイオレッツブルー / 戦いのエール / 防御ブースト,A-B,A-C,A-F,A-L,,,,,,,
煌龍,A,4,ハイドラ,51,原,https://eldersign.jp/img/mi/g/f0/048_hydra_0g4.png,ガッシマ / スキュアー / スタンピード / チャージ,カウンター / ハートオブフレイム,A-B,A-C,A-F,A-L,,,,,,,
煌龍,A,4,シルバードラゴン,70,原,https://eldersign.jp/img/mi/g/f0/050_silver-dragon_0g4.png,エルフショット / カラカス / クルセイド / ヒヤデスウィンド / ファイアランス,ローズイズレッド / ヴァイオレッツブルー,A-B,A-C,A-F,A-L,,,,,,,
煌龍,A,4,ウルタールの猫,63,亜2,https://eldersign.jp/img/mi/g/f0/065_cats-of-ulthar_2g4.png,カラカス / フライト / 光のベール / 日光浴 / 月光浴,HPブースト / クィックオーダー,A-B,A-C,A-F,A-L,,,,,,,
煌龍,A,4,ティターニア,39,亜2,https://eldersign.jp/img/mi/p/f1/106_titania_2g4.png,アウェイクニング / ヒヤデスウィンド / ブラッドムーン / ホワイトインペール / ルビーレイン,ハートオブマーブル / リジェネレイト,A-D,A-E,A-G,A-H,,,,,,,
煌龍,A,2,アンクー (1),64,原,https://eldersign.jp/img/mi/g/f0/044_ankou_0g4.png,ダブルアタック / デスサイズ / パンデミック / ファストブレード / ベノムスクラッチ,セントリー / ハートオブオーシャン / リジェネレイト,A-D,A-E,,,,,,,,,
煌龍,A,2,アンクー (2),70,原,https://eldersign.jp/img/mi/g/f0/044_ankou_0g4.png,エルフショット / ストーン / パンデミック / メガリス / 光の楔,エンジェリックウィング / ハートオブオーシャン / リフレクション / 攻撃ブースト,A-D,A-E,,,,,,,,,
煌龍,A,4,サキュバス,50,亜1,https://eldersign.jp/img/mi/p/f0/043_succubus_1g4.png,ヒヤデスウィンド / ブラッドスティール / ペイルムーン / リヴァイヴ / 光のベール,クィックオーダー / 防御ブースト,A-D,A-E,A-G,A-H,,,,,,,
煌龍,A,2,ペリ (1),66,原,https://eldersign.jp/img/mi/g/f0/042_peri_0g4.png,ヒヤデスウィンド / フサリア / ブラッドスティール / ペイルムーン / ムーランルージュ,ハートオブオーシャン / リジェネレイト,A-G,A-H,,,,,,,,,
煌龍,A,2,ペリ (2),56,亜1,https://eldersign.jp/img/mi/p/f0/042_peri_1g7.png,アイスランス / アウローラ / ガイドスター / フラッシュフラッド / ペイルムーン,コールドアシスト / ヴァイオレッツブルー,A-G,A-H,,,,,,,,,
煌龍,A,3,ドール (1),70,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,アースクェイク / カロウシブスピット / スキュアー / ダルバドーハ / チャージ,ハートオブマーブル / リジェネレイト / 戦いのエール / 防御ブースト,A-I,A-J,A-K,,,,,,,,
煌龍,A,3,ドール (2),68,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,アースクェイク / スタンピード / チャージ / トライペック / ブラッドセイバー,リジェネレイト / 戦いのエール / 防御ブースト,A-I,A-J,A-K,,,,,,,,
煌龍,A,3,オールドワン,59,原,https://eldersign.jp/img/mi/g/f0/051_old-one_0g4.png,セメタリーゲート / ハウリングムーン / ミラーズ / ユロール,エンジェリックウィング / 攻撃ブースト,A-I,A-J,A-K,,,,,,,,
煌龍,A,3,スターヴァンパイア,48,原,https://eldersign.jp/img/mi/g/f0/052_star-vampire_0g7.png,アンブッシュ / ミラーズ / ユロール / 光のベール / 光の楔,HPブースト / クィックオーダー / 心の棘 / 攻撃ブースト,A-I,A-J,A-K,,,,,,,,
つくよみ,H,1,ダークヤング,16,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,インクリーズ / ニグラーヌ,クィックオーダー / 命中ブースト,A-H,,,,,,,,,,
つくよみ,H,1,ドール,31,原,https://eldersign.jp/img/mi/g/f0/056_dhole_0g4.png,アースクェイク / インクリーズ / カロウシブスピット / ダルバドーハ / ハードブロウ,エンジェリックウィング / 戦いのエール,A-H,,,,,,,,,,
つくよみ,H,11,ハンティングホラー,61,原,https://eldersign.jp/img/mi/g/f1/100_hunting-horror_0g4.png,ウラザイス / ミラーズ / ユロール / 光の楔 / 風葬,クィックオーダー / 命中ブースト / 心の壁 / 防御ブースト / 魔力ブースト,A-H,B-H,C-H,D-H,E-H,F-H,G-H,H-I,H-J,H-K,H-L
つくよみ,H,11,F.S.M.,36,原,https://eldersign.jp/img/mi/g/f0/053_fsm_0g1.png,アンブッシュ / ハスタリーザ / ヒーリング / ロストフォーチュン / 光のベール,防御ブースト / 魔力ブースト,A-H,B-H,C-H,D-H,E-H,F-H,G-H,H-I,H-J,H-K,H-L
つくよみ,H,10,ティンダロスハウンド,70,原,https://eldersign.jp/img/mi/g/f0/054_hounds-of-tindalos_0g4.png,イズルハーダ / ダブルアタック / チャージ / フェイズアウト / ルルハラント,クィックオーダー / 守りのミンネ / 戦いのエール / 防御ブースト,B-H,C-H,D-H,E-H,F-H,G-H,H-I,H-J,H-K,H-L,
